epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.0584807229307946,0.46096654275092935,0.4572353715798266,1.0940846469667223,0.3508771929824561,0.23106516190628337
2,0.96248977574274,0.5910780669144982,0.5781555370385295,0.9809385091937773,0.4678362573099415,0.41886297542339057
3,0.8951045224214575,0.6453531598513012,0.6335087469685309,0.8885817953020508,0.5847953216374269,0.5673849529053149
4,0.8403385639190674,0.6743494423791822,0.6604923677201899,0.8336404248287803,0.6666666666666666,0.6566179502451092
5,0.804605395377347,0.6855018587360595,0.6734291286588544,0.7937909615667242,0.7251461988304093,0.7178036654107971
6,0.7611546537690003,0.7345724907063197,0.7285786791607797,0.7607170935959844,0.7485380116959064,0.7437276285573499
7,0.7400365288815977,0.7315985130111524,0.7266883249843546,0.7313351352312412,0.7660818713450293,0.7600668337510442
8,0.7098309939678716,0.753903345724907,0.7475412689578342,0.7027878064161156,0.7719298245614035,0.7654485357002518
9,0.6845954891474274,0.7717472118959108,0.7672947073600335,0.6762360376224184,0.8011695906432749,0.7962834464123124
10,0.6640853748888774,0.7672862453531598,0.7623521204658527,0.6546796309320551,0.8070175438596491,0.8016513006641249
11,0.638605517082498,0.7962825278810409,0.7926279112415185,0.6338543665339376,0.8070175438596491,0.801396389025255
12,0.6226886727109717,0.7776951672862453,0.7720302935989212,0.6160333167042649,0.8128654970760234,0.8079455782312924
13,0.6110828110719702,0.79182156133829,0.7875257130787467,0.5970809376030638,0.8128654970760234,0.8079455782312924
14,0.5888656769543332,0.8007434944237918,0.7975931097809293,0.5849434492880838,0.8128654970760234,0.8081658275362876
15,0.588919696666051,0.7851301115241636,0.7807102374924674,0.572860916804152,0.8128654970760234,0.8081658275362876
16,0.5650426705973742,0.820817843866171,0.8188803161656047,0.5553854104371099,0.8187134502923976,0.8146271757119216
17,0.5495464409151042,0.8156133828996283,0.8120104856159719,0.5416121256281758,0.8245614035087719,0.8210388190267907
18,0.5398524868443996,0.8163568773234201,0.8141827606549669,0.5285693685910855,0.8245614035087719,0.8210388190267907
19,0.5370277190297067,0.8260223048327138,0.8234332499353698,0.5178716465046531,0.8304093567251462,0.826492678372162
20,0.5204010924442107,0.8371747211895911,0.8345059815918976,0.5067232592761168,0.8304093567251462,0.8263752276867032
