epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.0549752112214894,0.4163568773234201,0.39335672989248605,1.0332542581167834,0.5146198830409356,0.49386672997784115
2,0.9804870341347053,0.5360594795539033,0.5169578712665575,0.9669502530878747,0.5906432748538012,0.5696086031245554
3,0.928099964985617,0.5888475836431227,0.5764384299140634,0.9248304875970584,0.6374269005847953,0.6213535030253108
4,0.8789606202490711,0.6371747211895911,0.6205911315559195,0.8797592301117746,0.6783625730994152,0.6670642883686363
5,0.8407797231993267,0.6579925650557621,0.6495022021699431,0.8247119007054825,0.7017543859649122,0.6914133958750086
6,0.8050129690134835,0.6981412639405205,0.694036902032757,0.8204749958556995,0.6842105263157895,0.6720023270617893
7,0.7688930107315234,0.7189591078066915,0.7110867720483592,0.7954517296183179,0.6608187134502924,0.6471762057115772
8,0.753905099918408,0.7092936802973978,0.7025108690124521,0.7750990596431041,0.6608187134502924,0.6472490263155044
9,0.7365111201226047,0.7182156133828996,0.7099453911281869,0.7366563677787781,0.7485380116959064,0.7359249186796779
10,0.7086142022370405,0.7301115241635687,0.7211948159249341,0.7156340490307724,0.7485380116959064,0.7384778136073722
11,0.6845105864301491,0.7657992565055762,0.762730392705048,0.7118523448531391,0.7134502923976608,0.7049255868983124
12,0.6759563108359128,0.7464684014869889,0.7420133426476001,0.6711489077199969,0.7602339181286549,0.754378409417169
13,0.6625877446844676,0.7672862453531598,0.7645494366471146,0.6812227556579992,0.7134502923976608,0.7046254399195576
14,0.6451298424302424,0.7605947955390334,0.7557718006341859,0.6392810498064722,0.783625730994152,0.7777293626910317
15,0.6310412534550663,0.7732342007434945,0.7677577036176849,0.6662386777805306,0.7134502923976608,0.7050013404701815
16,0.6264875822350882,0.7814126394052044,0.7786541134096948,0.6450043216086271,0.7309941520467836,0.7234821595367085
17,0.6162456189832722,0.7702602230483271,0.7667687098551066,0.6261007099123727,0.7485380116959064,0.7418630751964085
18,0.6036359759511558,0.7776951672862453,0.7745207438153043,0.6021705736890871,0.7953216374269005,0.791347813344622
19,0.5883602979901111,0.7866171003717473,0.782316542117655,0.5713834961255392,0.8070175438596491,0.8036692100994743
20,0.5741707812454621,0.8096654275092937,0.8080508369783765,0.5840704754779213,0.8011695906432749,0.7965079157778648
