model_name,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
resnet18,1,1.1321562114701396,0.33680297397769515,0.32721112785593937,1.0640150761743734,0.4093567251461988,0.2924901185770751
resnet18,2,1.023551761882456,0.4468401486988848,0.4398420732361323,0.9649081404446161,0.5730994152046783,0.509098114917346
resnet18,3,0.950926721228986,0.5472118959107807,0.5385676808287357,0.8949228643673902,0.6257309941520468,0.5637783218079141
resnet18,4,0.8873444867399989,0.6104089219330855,0.592947565807551,0.8310594203179342,0.6842105263157895,0.6205571904350737
resnet18,5,0.8390881732493971,0.6483271375464684,0.6405562338959705,0.778874885617641,0.7309941520467836,0.6934551139096593
resnet18,6,0.7936442846702377,0.6914498141263941,0.6833579892374085,0.743121750173513,0.695906432748538,0.6530413625304137
resnet18,7,0.7528333635578368,0.7070631970260223,0.695577679139323,0.7185966159865173,0.695906432748538,0.6572820941241994
resnet18,8,0.7353579706418913,0.7390334572490707,0.7332382546353943,0.6750404461782579,0.7719298245614035,0.7616212100505653
resnet18,9,0.7120910505379886,0.7368029739776951,0.7296282615969134,0.6652001735062627,0.7426900584795322,0.708056838491621
resnet18,10,0.6894360353069234,0.7412639405204461,0.7330767463660219,0.6468643117369267,0.7543859649122807,0.7305278589286552
resnet18,11,0.6634678477248295,0.7657992565055762,0.7628529317140037,0.6268165320680853,0.7660818713450293,0.7407918975337454
resnet18,12,0.65923807270908,0.7776951672862453,0.7721593375878383,0.6017947615238658,0.7953216374269005,0.784533172010486
resnet18,13,0.6307191639584679,0.7933085501858737,0.7906560952674232,0.591824708277719,0.7426900584795322,0.7236146632566071
resnet18,14,0.625760633263003,0.779182156133829,0.7749007216198729,0.5741792959079408,0.7894736842105263,0.775866967939869
resnet18,15,0.603684607225723,0.8029739776951673,0.7994780936684522,0.5470072829235367,0.8245614035087719,0.8198126320331983
resnet18,16,0.5989823773004752,0.7940520446096654,0.7913139719513359,0.5611488979462295,0.7602339181286549,0.7479479835725705
resnet18,17,0.584358130068584,0.7947955390334572,0.7910192011281589,0.5581125104636476,0.7660818713450293,0.7408963160734562
resnet18,18,0.5632083688083634,0.8304832713754647,0.8286163861284223,0.528141166731628,0.8187134502923976,0.8108121543528242
resnet18,19,0.5653363265069444,0.8133828996282528,0.8107175895133855,0.5174124669610408,0.847953216374269,0.8440776599783874
resnet18,20,0.5466372698213088,0.8185873605947955,0.8161997123631991,0.5234945824271754,0.8011695906432749,0.790208826011749
resnet34,1,1.146429333279124,0.3546468401486989,0.3462122928507869,1.0658342399095233,0.38011695906432746,0.3518342565583817
resnet34,2,1.0181983389375822,0.45724907063197023,0.45859219597191464,0.9672153804734437,0.6023391812865497,0.5980987947870092
resnet34,3,0.9431396504760232,0.5568773234200743,0.5540620436448734,0.9023329992043344,0.6783625730994152,0.6686087764800988
resnet34,4,0.894128904378104,0.6148698884758365,0.6031261355351932,0.8421708195530183,0.695906432748538,0.6905033238366571
resnet34,5,0.8365758760267917,0.6617100371747212,0.6576026622236562,0.7999821650354486,0.7309941520467836,0.7303218556430089
resnet34,6,0.7934995920684701,0.6869888475836431,0.6837589259564738,0.7847258033808212,0.7192982456140351,0.7126198347107437
resnet34,7,0.7565458215302251,0.7226765799256506,0.7169545256187856,0.7452458627739845,0.7309941520467836,0.7234207995730211
resnet34,8,0.7436650595257274,0.7130111524163569,0.7110912184156329,0.7131024700159218,0.7426900584795322,0.7406901436956081
resnet34,9,0.7144552919501266,0.7360594795539034,0.7313288460179556,0.682585432864072,0.7485380116959064,0.7433661636697689
resnet34,10,0.696742092588134,0.7479553903345725,0.7430618057324532,0.6718061660465441,0.7719298245614035,0.7685818319513119
resnet34,11,0.6871168405149949,0.7405204460966542,0.7383828596961682,0.6489480486390187,0.783625730994152,0.7792461965173721
resnet34,12,0.663664486860254,0.7650557620817844,0.7616356326320796,0.614101843527186,0.7953216374269005,0.7929488547154432
resnet34,13,0.6487638321950976,0.7687732342007435,0.7667180080973185,0.6129332160392003,0.8011695906432749,0.8006627095451115
resnet34,14,0.63052863826539,0.779182156133829,0.7761555787266526,0.5929999215561047,0.7894736842105263,0.7879550162770051
resnet34,15,0.6130790910756277,0.7724907063197026,0.7693084152606695,0.5881963952591545,0.7953216374269005,0.7958220790328041
resnet34,16,0.6083943367890708,0.7843866171003717,0.7819189918909264,0.5693883732048391,0.8011695906432749,0.8004999499779633
resnet34,17,0.6094478484423187,0.7784386617100372,0.7754284845520948,0.5709575787622329,0.8187134502923976,0.815834038367622
resnet34,18,0.5812595148511979,0.8074349442379182,0.8060632809854464,0.5461587201782138,0.7953216374269005,0.7954612353415943
resnet34,19,0.5729366697786465,0.8014869888475836,0.8006511473090766,0.5482734968090615,0.8245614035087719,0.8224462254537442
resnet34,20,0.564179729351767,0.7977695167286245,0.7952900815859035,0.5405695100276791,0.8070175438596491,0.806837606837607
mobilenet_v3_large,1,1.0631942749909753,0.4579925650557621,0.4545498606134792,1.0877701810926024,0.36257309941520466,0.2852571481959752
mobilenet_v3_large,2,0.9801901072817664,0.6349442379182156,0.6310117891242369,0.9664983247455797,0.5730994152046783,0.5577026301663983
mobilenet_v3_large,3,0.9151133451319982,0.6951672862453532,0.6911902709650016,0.8758403983032494,0.7017543859649122,0.6975659854164528
mobilenet_v3_large,4,0.860312475413638,0.7263940520446097,0.7206070474571566,0.8230016893810697,0.7426900584795322,0.7367085544712664
mobilenet_v3_large,5,0.8233993295400116,0.7412639405204461,0.7353226494741731,0.7829638573161343,0.7660818713450293,0.7603596792668957
mobilenet_v3_large,6,0.7770287573115976,0.7776951672862453,0.7754491993921425,0.747656254043356,0.7953216374269005,0.7911147548450274
mobilenet_v3_large,7,0.755934983425424,0.7724907063197026,0.7699474858668148,0.7164072924190097,0.8011695906432749,0.7965573770491803
mobilenet_v3_large,8,0.7251397241890208,0.7828996282527881,0.7793003793407717,0.6877045101589627,0.8070175438596491,0.8021129326047358
mobilenet_v3_large,9,0.6983428122828884,0.8014869888475836,0.7990802913651455,0.6628657115830315,0.8128654970760234,0.8093533853670918
mobilenet_v3_large,10,0.6787639572717886,0.7940520446096654,0.7917318139293722,0.6419160111605773,0.8187134502923976,0.8150326797385622
mobilenet_v3_large,11,0.6513441279918287,0.8230483271375465,0.8211938900751798,0.6211268870454085,0.8128654970760234,0.8093533853670918
mobilenet_v3_large,12,0.6380143633562393,0.8096654275092937,0.8077299289961294,0.6035261419084337,0.8128654970760234,0.8093533853670918
mobilenet_v3_large,13,0.6232784564610307,0.7985130111524164,0.7972373573454282,0.5853112855849908,0.8128654970760234,0.8093533853670918
mobilenet_v3_large,14,0.6023665607197134,0.8245353159851301,0.8234318190391982,0.5718413113850599,0.8128654970760234,0.8093533853670918
mobilenet_v3_large,15,0.6019878975963947,0.7977695167286245,0.7953242256555993,0.5587383979245236,0.8128654970760234,0.8093533853670918
mobilenet_v3_large,16,0.5789368110075316,0.8342007434944237,0.8334695056749434,0.5433714055178458,0.8187134502923976,0.8157250470809793
mobilenet_v3_large,17,0.560865238076249,0.8275092936802974,0.8258252079284972,0.5293406952194303,0.8187134502923976,0.8157250470809793
mobilenet_v3_large,18,0.5518108564681723,0.8275092936802974,0.8263017388428935,0.5175094635863053,0.8362573099415205,0.8331081921958615
mobilenet_v3_large,19,0.5495116863108922,0.8371747211895911,0.8355306876884998,0.5072893977862353,0.847953216374269,0.8458497559264829
mobilenet_v3_large,20,0.5309749543002104,0.8498141263940521,0.8486155502510643,0.49748286134318304,0.8538011695906432,0.8521807326452135
efficientnet_b0,1,1.064362108397218,0.4550185873605948,0.4530411729698492,1.0227304857376722,0.5263157894736842,0.5157950856433423
efficientnet_b0,2,0.9951397018361712,0.562081784386617,0.5632904758699321,0.9560243818495009,0.6432748538011696,0.6438529731692989
efficientnet_b0,3,0.9396528859120763,0.6245353159851301,0.6241661447827299,0.9098453061622486,0.6549707602339181,0.6543031372682121
efficientnet_b0,4,0.8927759123557563,0.6654275092936803,0.6620587678745564,0.8698072144162585,0.7076023391812866,0.7067026540710751
efficientnet_b0,5,0.8545563268838762,0.6907063197026022,0.6889900394926572,0.8153797234708106,0.7368421052631579,0.7366861145101645
efficientnet_b0,6,0.8165524215503253,0.7211895910780669,0.7198935042016822,0.8030817086933649,0.7309941520467836,0.7268536788787404
efficientnet_b0,7,0.7849495967081488,0.7256505576208179,0.7229041186822226,0.775975153111575,0.7543859649122807,0.7464007518969352
efficientnet_b0,8,0.7679995901079426,0.7278810408921933,0.7261090681724927,0.756489432346054,0.7426900584795322,0.7362930934078733
efficientnet_b0,9,0.7510617146261562,0.7442379182156134,0.741924462987498,0.7209948018977517,0.7660818713450293,0.7583688687387898
efficientnet_b0,10,0.7232964602544848,0.7420074349442379,0.7384583440138148,0.7013528075134545,0.7777777777777778,0.7735429258888841
efficientnet_b0,11,0.697757348695209,0.7687732342007435,0.7677979495310056,0.6955170613980433,0.7660818713450293,0.762395648587991
efficientnet_b0,12,0.6908132774679191,0.7695167286245354,0.7680163684253394,0.6582044028399283,0.7660818713450293,0.7636363636363637
efficientnet_b0,13,0.6753805590384955,0.7732342007434945,0.7723935064864343,0.6603692571322123,0.7660818713450293,0.760986748216106
efficientnet_b0,14,0.6581955650925193,0.7687732342007435,0.7669132141439706,0.6322350428815473,0.7894736842105263,0.7870163095618804
efficientnet_b0,15,0.6456946630903336,0.7717472118959108,0.7694038612382936,0.6451958979082386,0.7719298245614035,0.7673861139426889
efficientnet_b0,16,0.6432529019600397,0.7903345724907063,0.7895864153924247,0.6274720583742822,0.7894736842105263,0.7865871833084949
efficientnet_b0,17,0.6275589132840749,0.7955390334572491,0.7940823974886322,0.6086316537438777,0.7777777777777778,0.7737340898329744
efficientnet_b0,18,0.6182180468477724,0.7910780669144981,0.7897156748560891,0.5911271931135167,0.783625730994152,0.7808918116785293
efficientnet_b0,19,0.6016711890032743,0.8074349442379182,0.8056448202541487,0.565138176170706,0.8187134502923976,0.8183041340936077
efficientnet_b0,20,0.5868599747193347,0.8148698884758364,0.8142529301716394,0.572614754501142,0.8187134502923976,0.8145409332740225
efficientnet_v2_s,1,1.0679044834300044,0.43271375464684014,0.43444539599920434,1.0008120515890289,0.6081871345029239,0.600862688713156
efficientnet_v2_s,2,0.9957957617855426,0.5739776951672863,0.5680622149602866,0.9430915047550759,0.672514619883041,0.6668408710764879
efficientnet_v2_s,3,0.9392771104897708,0.6267657992565056,0.6177041361453375,0.8942593193193625,0.7485380116959064,0.7397449693464874
