model_name,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
resnet18,1,1.1321562114701396,0.33680297397769515,0.32721112785593937,1.0640150761743734,0.4093567251461988,0.2924901185770751
resnet18,2,1.023551761882456,0.4468401486988848,0.4398420732361323,0.9649081404446161,0.5730994152046783,0.509098114917346
resnet18,3,0.950926721228986,0.5472118959107807,0.5385676808287357,0.8949228643673902,0.6257309941520468,0.5637783218079141
resnet18,4,0.8873444867399989,0.6104089219330855,0.592947565807551,0.8310594203179342,0.6842105263157895,0.6205571904350737
resnet18,5,0.8390881732493971,0.6483271375464684,0.6405562338959705,0.778874885617641,0.7309941520467836,0.6934551139096593
resnet18,6,0.7936442846702377,0.6914498141263941,0.6833579892374085,0.743121750173513,0.695906432748538,0.6530413625304137
resnet18,7,0.7528333635578368,0.7070631970260223,0.695577679139323,0.7185966159865173,0.695906432748538,0.6572820941241994
resnet18,8,0.7353579706418913,0.7390334572490707,0.7332382546353943,0.6750404461782579,0.7719298245614035,0.7616212100505653
resnet18,9,0.7120910505379886,0.7368029739776951,0.7296282615969134,0.6652001735062627,0.7426900584795322,0.708056838491621
resnet18,10,0.6894360353069234,0.7412639405204461,0.7330767463660219,0.6468643117369267,0.7543859649122807,0.7305278589286552
resnet18,11,0.6634678477248295,0.7657992565055762,0.7628529317140037,0.6268165320680853,0.7660818713450293,0.7407918975337454
resnet18,12,0.65923807270908,0.7776951672862453,0.7721593375878383,0.6017947615238658,0.7953216374269005,0.784533172010486
resnet18,13,0.6307191639584679,0.7933085501858737,0.7906560952674232,0.591824708277719,0.7426900584795322,0.7236146632566071
resnet18,14,0.625760633263003,0.779182156133829,0.7749007216198729,0.5741792959079408,0.7894736842105263,0.775866967939869
resnet18,15,0.603684607225723,0.8029739776951673,0.7994780936684522,0.5470072829235367,0.8245614035087719,0.8198126320331983
resnet18,16,0.5989823773004752,0.7940520446096654,0.7913139719513359,0.5611488979462295,0.7602339181286549,0.7479479835725705
resnet18,17,0.584358130068584,0.7947955390334572,0.7910192011281589,0.5581125104636476,0.7660818713450293,0.7408963160734562
resnet18,18,0.5632083688083634,0.8304832713754647,0.8286163861284223,0.528141166731628,0.8187134502923976,0.8108121543528242
resnet18,19,0.5653363265069444,0.8133828996282528,0.8107175895133855,0.5174124669610408,0.847953216374269,0.8440776599783874
resnet18,20,0.5466372698213088,0.8185873605947955,0.8161997123631991,0.5234945824271754,0.8011695906432749,0.790208826011749
