model_name,best_epoch,best_val_loss,best_val_acc,best_val_f1,param_count,train_time_sec,val_inference_ms_per_image,checkpoint_path,history_path
mobilenet_v3_large,20,0.49748286134318304,0.8538011695906432,0.8521807326452135,4205875,91.77315429993905,0.6911693781148642,models\mobilenet_v3_large_best.pt,models\mobilenet_v3_large_history.csv
resnet18,19,0.5174124669610408,0.847953216374269,0.8440776599783874,11178051,84.72074719984084,0.7089818740496412,models\resnet18_best.pt,models\resnet18_history.csv
efficientnet_v2_s,16,0.6196976433023375,0.847953216374269,0.8435132247215661,20181331,106.57707259990275,1.46923999855062,models\efficientnet_v2_s_best.pt,models\efficientnet_v2_s_history.csv
resnet34,19,0.5482734968090615,0.8245614035087719,0.8224462254537442,21286211,95.58464280003682,0.8760137498029508,models\resnet34_best.pt,models\resnet34_history.csv
efficientnet_b0,19,0.565138176170706,0.8187134502923976,0.8183041340936077,4011391,88.90542620001361,0.7598062511533499,models\efficientnet_b0_best.pt,models\efficientnet_b0_history.csv
